Index,Release Note,Release Note With Abstraction
93,"
Merge branch 'master' of https://github.com/nestjs/graphql (3511dcd)
feat(): add validation and transformation rules inheritance (29c38dd)
chore(deps): update dependency jest to v25.2.1 (030501e)
","Merge branch 'master' of link (3511dcd)
feat(): add validation and transformation rules inheritance (29c38dd)
chore(deps): update dependency jest to v25.2.1 (030501e)"
94,"
Merge branch 'master' of https://github.com/nestjs/graphql (9336bc9)
feat(): add type helpers functions (dcaea9e)
chore(deps): update dependency jest to v25.2.0 (03e7bb1)
Update README.md (4523a7a)
chore(deps): update dependency @types/node to v12.12.31 (e5785bb)
","Merge branch 'master' of link (9336bc9)
feat(): add type helpers functions (dcaea9e)
chore(deps): update dependency jest to v25.2.0 (03e7bb1)
Update README.md (4523a7a)
chore(deps): update dependency @types/node to v12.12.31 (e5785bb)"
95,"
Merge branch 'master' of https://github.com/nestjs/graphql (8f1e336)
fix(): invalid args decorator signature (add overload) (ff44cbe)
chore(deps): update dependency lint-staged to v10.0.9 (f86c14b)
chore(deps): update dependency prettier to v2.0.2 (7efd346)
chore(deps): update typescript-eslint monorepo to v2.25.0 (0810944)
","Merge branch 'master' of link (8f1e336)
fix(): invalid args decorator signature (add overload) (ff44cbe)
chore(deps): update dependency lint-staged to v10.0.9 (f86c14b)
chore(deps): update dependency prettier to v2.0.2 (7efd346)
chore(deps): update typescript-eslint monorepo to v2.25.0 (0810944)"
96,"
fix(): add more verbose error for code first decorators (08ddc30)
fix(): add missing class validator (dev dependency) (dcf1e0d)
","fix(): add more verbose error for code first decorators (08ddc30)
fix(): add missing class validator (dev dependency) (dcf1e0d)"
97,"
Merge branch 'master' of https://github.com/nestjs/graphql (dae9379)
fix(): fix directives on field resolers (6ed51b1)
chore(deps): update nest monorepo to v7.0.5 (1dd6289)
Merge branch 'master' of https://github.com/nestjs/graphql (bead9dd)
fix(): remove optional deps (6d0a9ba)
fix(): remove optional deps (a2d06a5)
Merge pull request #686 from nestjs/renovate/eslint-config-prettier-6.x (1cfad42)
chore(deps): update dependency eslint-config-prettier to v6.10.1 (b148043)
chore(deps): update dependency ts-node to v8.8.1 (5d5eecc)
chore(deps): update dependency ts-node to v8.8.0 (0e7a38f)
chore(deps): update dependency prettier to v2 (0a6c238)
chore(deps): update nest monorepo to v7.0.4 (49e0034)
","Merge branch 'master' of link (dae9379)
fix(): fix directives on field resolers (6ed51b1)
chore(deps): update nest monorepo to v7.0.5 (1dd6289)
Merge branch 'master' of link (bead9dd)
fix(): remove optional deps (6d0a9ba)
fix(): remove optional deps (a2d06a5)
Merge pull request #686 from nestjs/renovate/eslint-config-prettier-6.x (1cfad42)
chore(deps): update dependency eslint-config-prettier to v6.10.1 (b148043)
chore(deps): update dependency ts-node to v8.8.1 (5d5eecc)
chore(deps): update dependency ts-node to v8.8.0 (0e7a38f)
chore(deps): update dependency prettier to v2 (0a6c238)
chore(deps): update nest monorepo to v7.0.4 (49e0034)"
98,"
fix(): override get type method in gql execution context (f80f287)
",fix(): override get type method in gql execution context (f80f287)
99,"
fix(): add missing model prefix to plugin (e72921a)
",fix(): add missing model prefix to plugin (e72921a)
100,"
Merge branch 'master' of https://github.com/nestjs/graphql (c6a8b93)
fix(plugin): apply plugin metadata on prototypes (7647e2b)
chore(deps): update dependency ts-node to v8.7.0 (fb151d3)
","Merge branch 'master' of link (c6a8b93)
fix(plugin): apply plugin metadata on prototypes (7647e2b)
chore(deps): update dependency ts-node to v8.7.0 (fb151d3)"
101,"
Merge branch 'tngmichael-plugin-fix-proposal' (1759e73)
refactor(): move to a separate method (c682dc7)
Merge branch 'plugin-fix-proposal' of https://github.com/tngmichael/graphql into tngmichael-plugin-fix-proposal (261afba)
fix(): some changes not correctly applied (d6ef0b7)
","Merge branch 'tngmichael-plugin-fix-proposal' (1759e73)
refactor(): move to a separate method (c682dc7)
Merge branch 'plugin-fix-proposal' of link into tngmichael-plugin-fix-proposal (261afba)
fix(): some changes not correctly applied (d6ef0b7)"
102,"
fix(): fix getters in object types #673 (faad7cf)
",fix(): fix getters in object types #673 (faad7cf)
103,"
Merge branch 'master' of https://github.com/nestjs/graphql (2f30501)
fix(): fix abstract resolvers, field resolver args (fd4e471)
chore(deps): update nest monorepo to v7.0.3 (62008d4)
chore(deps): update typescript-eslint monorepo to v2.24.0 (14996d8)
","Merge branch 'master' of link (2f30501)
fix(): fix abstract resolvers, field resolver args (fd4e471)
chore(deps): update nest monorepo to v7.0.3 (62008d4)
chore(deps): update typescript-eslint monorepo to v2.24.0 (14996d8)"
104,"
feat(): register interface implementations automatically (e74260e)
",feat(): register interface implementations automatically (e74260e)
105,"
fix(): fix orphaned types factory, update e2e test (735f110)
fix(): fallback type to object instead of undefined (8590822)
","fix(): fix orphaned types factory, update e2e test (735f110)
fix(): fallback type to object instead of undefined (8590822)"
