Index,Message,Description,Message Abstract,Description Abstract
411,"just kidding, we do need to escape html in the body",,"just kidding, we do need to escape html in the body",
412,closer to validation,,closer to validation,
413,consistent base variable,,consistent base variable,
414,no need to escape HTML,,no need to escape HTML,
415,add tags,,add tags,
416,implement more of the spec,,implement more of the spec,
417,whitespace and ordering,,whitespace and ordering,
418,use our baseurl,,use our baseurl,
419,remove frontmatter,,remove frontmatter,
420,adopt @stve atom template,,adopt @stve atom template,
421,Merge pull request #21 from jekyll/validation,Validate the resulting feed,Merge pull request #21 from jekyll/validation,Validate the resulting feed
422,Merge pull request #17 from pathawks/remove-unused-permalink,Remove line that did nothing,Merge pull request #17 from pathawks/remove-unused-permalink,Remove line that did nothing
423,Merge pull request #18 from XhmikosR/patch-1,Update README.md,Merge pull request #18 from XhmikosR/patch-1,Update README.md
424,Update README.md,,Update README.md,
425,spike out validation,,spike out validation,
426,Merge pull request #10 from pathawks/fix-content-type,Fix content type,Merge pull request #10 from pathawks/fix-content-type,Fix content type
427,Merge pull request #13 from pathawks/whitespace,Do not strip newlines from post content,Merge pull request #13 from pathawks/whitespace,Do not strip newlines from post content
428,Remove line that did nothing,,Remove line that did nothing,
429,Add test for  whitespace,,Add test for  whitespace,
430,Merge pull request #8 from pathawks/UnusedNS,Remove unused namespaces,Merge pull request #8 from pathawks/UnusedNS,Remove unused namespaces
431,Fix self identifying content type,,Fix self identifying content type,
432,Merge pull request #9 from pathawks/No_madeup_data,Remove references to English,Merge pull request #9 from pathawks/No_madeup_data,Remove references to English
433,Merge pull request #12 from pathawks/permalink,Remove front matter from template,Merge pull request #12 from pathawks/permalink,Remove front matter from template
434,Do not strip newlines from post content,,Do not strip newlines from post content,
435,Remove front matter from template,,Remove front matter from template,
436,Merge pull request #6 from pathawks/Date,Use date_to_rfc822 filter for date,Merge pull request #6 from pathawks/Date,Use date_to_rfc822 filter for date
437,Use date_to_rfc822 filter for date,,Use date_to_rfc822 filter for date,
438,Remove references to English,Not all sites will use English exclusively,Remove references to English,Not all sites will use English exclusively
439,Merge pull request #11 from pathawks/Jekyll-version,Include Jekyll version information,Merge pull request #11 from pathawks/Jekyll-version,Include Jekyll version information
440,Include Jekyll version information,,Include Jekyll version information,
441,Remove unused namespaces,,Remove unused namespaces,
442,Merge pull request #3 from jekyll/change-owner,Change namespace to jekyll from benbalter,Merge pull request #3 from jekyll/change-owner,Change namespace to jekyll from benbalter
443,change namespace to jekyll from benbalter,,change namespace to jekyll from benbalter,
444,add gem badge,,add gem badge,
445,add travis badge,,add travis badge,
446,summary,,summary,
447,initial commit,,initial commit,
