Index,Message,Description,Message Abstract,Description Abstract
820,chore(deps): update dependency @types/node to v16.11.8,,chore(deps): update dependency @types/node to v16.11.8,
821,chore(deps): update dependency @types/jest to v27.0.3,,chore(deps): update dependency @types/jest to v27.0.3,
822,chore(): release v8.1.5,,chore(): release v8.1.5,
823,Merge pull request #1401 from nestjs/renovate/major-angular-cli-monorepo,fix(deps): update angular-cli monorepo to v13 (major),Merge pull request #1401 from nestjs/renovate/major-angular-cli-monorepo,fix(deps): update angular-cli monorepo to v13 (major)
824,fix(deps): update angular-cli monorepo to v13,,fix(deps): update angular-cli monorepo to v13,
825,Merge pull request #1382 from nestjs/renovate/fork-ts-checker-webpack-plugin-6.x,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.4.0,Merge pull request #1382 from nestjs/renovate/fork-ts-checker-webpack-plugin-6.x,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.4.0
826,Merge pull request #1384 from nestjs/renovate/webpack-5.x,fix(deps): update dependency webpack to v5.64.1,Merge pull request #1384 from nestjs/renovate/webpack-5.x,fix(deps): update dependency webpack to v5.64.1
827,Merge pull request #1392 from nestjs/renovate/circleci-node-17.x,chore(deps): update node.js to v17,Merge pull request #1392 from nestjs/renovate/circleci-node-17.x,chore(deps): update node.js to v17
828,Merge pull request #1407 from nestjs/renovate/tsconfig-paths-webpack-plugin-3.x,fix(deps): update dependency tsconfig-paths-webpack-plugin to v3.5.2,Merge pull request #1407 from nestjs/renovate/tsconfig-paths-webpack-plugin-3.x,fix(deps): update dependency tsconfig-paths-webpack-plugin to v3.5.2
829,Merge pull request #1385 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v12.2.13,Merge pull request #1385 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v12.2.13
830,chore(deps): update commitlint monorepo to v15,,chore(deps): update commitlint monorepo to v15,
831,chore(deps): update typescript-eslint monorepo to v5.4.0,,chore(deps): update typescript-eslint monorepo to v5.4.0,
832,fix(deps): update dependency webpack to v5.64.1,,fix(deps): update dependency webpack to v5.64.1,
833,chore(deps): update dependency release-it to v14.11.7,,chore(deps): update dependency release-it to v14.11.7,
834,fix(deps): update dependency tsconfig-paths-webpack-plugin to v3.5.2,,fix(deps): update dependency tsconfig-paths-webpack-plugin to v3.5.2,
835,chore(deps): update dependency eslint-plugin-import to v2.25.3,,chore(deps): update dependency eslint-plugin-import to v2.25.3,
836,chore(deps): update dependency @types/node to v16.11.7,,chore(deps): update dependency @types/node to v16.11.7,
837,chore(deps): update typescript-eslint monorepo to v5.3.1,,chore(deps): update typescript-eslint monorepo to v5.3.1,
838,chore(deps): update dependency eslint to v8.2.0,,chore(deps): update dependency eslint to v8.2.0,
839,fix(deps): update angular-cli monorepo to v12.2.13,,fix(deps): update angular-cli monorepo to v12.2.13,
840,chore(deps): update typescript-eslint monorepo to v5.3.0,,chore(deps): update typescript-eslint monorepo to v5.3.0,
841,chore(deps): update commitlint monorepo to v14,,chore(deps): update commitlint monorepo to v14,
842,chore(deps): update node.js to v17,,chore(deps): update node.js to v17,
843,chore(deps): update dependency @types/node to v16,,chore(deps): update dependency @types/node to v16,
844,chore(deps): update dependency @types/node to v14.17.32,,chore(deps): update dependency @types/node to v14.17.32,
845,chore(deps): update typescript-eslint monorepo to v5.2.0,,chore(deps): update typescript-eslint monorepo to v5.2.0,
846,chore(deps): update dependency @types/node to v14.17.31,,chore(deps): update dependency @types/node to v14.17.31,
847,chore(deps): update dependency ts-node to v10.4.0,,chore(deps): update dependency ts-node to v10.4.0,
848,chore(deps): update dependency eslint to v8.1.0,,chore(deps): update dependency eslint to v8.1.0,
