Index,Message,Description
163,chore: change undocumented protocol.registerProtocol to detect body type (#36595)
164,chore: update links in comments (#37197)
165,chore: update https://cs.chromium.org/ links to https://source.chromium.org/ (#37190)
166,ci: update appveyor build agent (#37211)
167,chore: re-enable worker spec failures (#37015)
168,docs: add missing clipboard-sanitized-write permission value to setPermissionRequestHandler() (#37173)
169,fix: avoid using v8 on Isolate termination (#35766)
170,chore: remove load-url event (#37174)
171,chore: rename built-in modules to bindings to match naming update in node (#37182)
172,test: ensure fullscreen test is retryable (#37179)
173,test: Node.js hkdf tests work now (#37180)
174,docs: remove reference to electron/releases (#37164)
175,test: mark some node specs as flaky (#37181)
176,fix: correct redefinition which is invalid C++ (#36096)
177,build: only retry tests on CI (#37167)
178,fix: type for received-apns-notification event (#37177)
179,fix: expose native bindings by process type (#35949)
180,chore: bump node to v18.14.0 (main) (#37129)
181,build: fix version check in release_dependency_versions.yml (#37155)
182,docs: use relative links within docs (#37042)
183,docs: update stable dates (#37150)
184,build: update appveyor image to latest version (#37151)
185,chore: remove old script code for ATOM_SHELL_ (#37140)
186,refactor: move gin_helper::Constructible methods to prototype (#37087)
187,chore: remove deprecated capturer count APIs (#37075)
188,fix: enable basic a11y when voice control is active (#37122)
189,docs: add missing ipcRenderer require to example code (#37134)
190,build(deps): bump http-cache-semantics from 4.1.0 to 4.1.1 (#37132)
191,build: update spec dependencies to clean up yarn audit (#37116)
192,build: allow workflow_dispatch on scheduled Actions (#37128)
193,chore: bump chromium to 111.0.5544.3 (main) (#36820)
194,refactor: process event emitting for sandboxed renderers (#37109)
195,build: update mocha for retries and audit fix (#37117)
196,build: actually upload symbol zips (#37124)
197,docs: improve globalShortcut and hookWindowMessage types (#37115)
198,build: remove mips64el build config (#37093)
199,docs: use automatic link syntax for symbol server link (#37089)
200,docs: remove invalid appcache value from storages in clearStorageData() (#37095)
201,fix: nodeIntegrationInWorker fails to boot in AudioWorklets (#37041)
202,build: fixup release_dependency_versions action (#37036)
203,chore: strip trailing whitespace (#35969)
204,build: bump deps to clean up yarn audit (#36535)
205,chore: validate .mjs spec files in Node.js smoke tests (#37073)
206,docs: note how to clear an aspect ratio (#37074)
207,ci: update actions/stale to v6.0.1 (#37079)
208,docs: update modules list in docs/README.md (#37080)
209,ci: fixup ninja for release (#37083)
210,refactor: simplify script/lint.js (#37077)
211,fix: crash on WebWorkerObserver script execution (#37050)
212,fix: crash on window.print() (#37052)
213,ci: ensure correct ninja is used (#37069)
214,fix: ensure autofill popup view is > 1x1 in size (#36121)
215,fix: resizing borders in nondraggable regions (#37016)
216,feat: add support for unlocking with Apple Watch (#36935)
217,fix: fallback to GtkStatusIcon when app indicator is not supported (#36815)
218,feat: emit devtools-open-url event for DevTools link selection (#36774)
219,docs: updated deep link docs (#36952)
220,chore: fix memory leak in v8.serialize() (#37021)
221,chore: update README.md (#37002)
222,chore: remove crashpad related sandbox policy (#37013)
223,feat: enable whole-program optimization native modules by default (#36937)
224,fix: do not error on null exports in ESM loader (#37009)
225,refactor: move spec helpers to spec/lib (#37010)
226,chore: remove unused fixture_support.md (#37011)
227,refactor: separate WEB_VIEW_ATTRIBUTES / WEB_VIEW_ERROR_MESSAGES (#36972)
228,chore: remove unused files in spec/fixtures (#37012)
229,chore: call ListenerDestroyed() in FileSelectHelper::RunFileChooserEnd() (#37006)
230,chore: cleanup ElectronContentClient::AddPlugins (#37005)
231,chore: use vscode-markdown-languageservice for link linting (#36901)
232,test: add a  spec for time type (#36953)
233,chore: clean up .keep files (#36980)
234,fix: make plugin helper executable unconditional (#36971)
235,chore: cleanup autofill agent shutdown sequence (#36954)
236,ci: don't run stale workflow jobs in parallel (#36967)
237,test: fix nativeTheme test when system in dark mode (#36943)
238,docs: Change factuality and word choice in app.runningUnderARM64Translation (#36947)
239,docs: update clipboard fiddles (#36946)
240,fix:  dropdown positioning (#36934)
241,test: support running tests against Electron releases (#36944)
242,test: fix test for USB device.forget() (#36942)
243,fix: webview background color on reload (#36920)
244,chore: update node types version (#36924)
245,ci: run WOA tests on AppVeyor (#36925)
246,feat: add label property to Display objects (#36855)
247,ci: update pinned versions for security scorecard workflow (#36910)
248,ci: update amannn/action-semantic-pull-request version (#36902)
249,chore: disallow shortcut reference links in docs Markdown (#36860)
250,fix: Cmd+Tab not working when exiting kiosk mode (#36854)
251,build: bump appveyor to e-111.0.5518.0 (#36900)
252,build: remove older branch migration helpers (#36888)
253,build: remove ScriptOrModule V8 flag (#36887)
254,chore: fix typo in promise rejection (#36763)
255,docs: cleanup reference links (#36659)
256,chore: enable microtask queue per window agent (#36870)
257,fix: missing libcxx headers (#36863)
258,fix: getUserMedia duplicate permissions call (#36787)
259,chore: bump node to v18.13.0 (main) (#36818)
260,build: migrate patch-up to use app creds (#36817)
261,build: update release deps workflow (#36530)
262,fix: RTL WindowButtonsProxy buttons (#36839)
263,fix: handle null/undefined options for fs.readdir (#34764)
264,docs: add missing window-management permission value to setPermissionRequestHandler() (#36776)
265,build: fix broken stale issues workflow (#36843)
266,chore: cleanup drag_util (#36806)
267,docs: fix link in breaking-changes.md (#36793)
268,chore: bump chromium to 111.0.5518.0 (main) (#36575)
269,docs: Add note about argv getting modified (#36735)
270,fix: move report_raw_headers to TrustedParams (#36725)
271,fix: focus rings with multiple buttons in showMessageBox (#36772)
272,fix: rename WebSwapCGLLayer to WebSwapCGLLayerChromium (#35961)
273,docs: cleanup some rogue backticks (#36778)
274,docs: update incorrect grammar (#36780)
275,docs: update links (#36657)
276,chore: update electron/clerk links in PR template (#36658)
277,docs: update code highlights in tutorial (#36691)
278,docs: main.js file change was displayed incorrectly (#36709)
279,docs: improve dark mode example fiddle (#36596)
280,docs: update visual studio min version (#36702)
281,fix: use chrome headers in net.request for everything except cookie (#36666)
282,docs: Fix incorrect highlight in an example snippet (#36700)
283,test: replace (webContents as any).destroy() with webContents.destroy() (#36653)
284,chore: cherry-pick 32b7dc86a763 from v8 (#36651)
285,fix: blend node and blink code generation policy when both are loaded (#36567)
286,fix: use the process cache to reduce the memory for asar file (#36600)
287,fix: strip branded binaries (#36641)
288,chore: update AppVeyor image to include latest Windows updates (#36649)
289,chore: update markdownlint (#36540)
290,chore: reland “fix ambiguous reference gcc compile error” (#36544)
291,feat: added username to IAP purchaseProduct method (#35902)
292,docs: add mdn link to web-request-filter.md (#36603)
293,ci(not-really): autoclose issues with blocked/need-repro and no response (#36532)
294,docs: link net.request options to ClientRequestConstructorOptions (#36556)
