Index,Release Note,Release Note With Abstraction
31,"
JENKINS-62063 - Fix failure when using pipeline-multibranch-defaults (#2076) @bitwiseman
",JENKINS-62063 - Fix failure when using pipeline-multibranch-defaults (#2076) @bitwiseman
32,"Changes

Fix the flaky FavoritesCardsTest ATH Test (#1962) @halkeye
Test fixes on Java 11
","Changes
Fix the flaky FavoritesCardsTest ATH Test (#1962) @halkeye
Test fixes on Java 11"
33,"
JENKINS-61822 - Fix github-api 1.107+ incompatibilities (#2064) @bitwiseman
Improve Jenkinsfile error handling by removing unnecessary catch block (#2070) @dwnusbaum
Spelling (#2048) @jsoref
Fix translation from ""Modificacíon"" to ""Modificación"" (#2066) @gonrial
README: remove reference to the Blue Ocean roadmap (#2062) @oleg-nenashev
Use GitHub as the source of documentation (#2063) @zbynek
Upgrade ubuntu maven (#2061) @olamy
Upgrade Jira plugin to 3.0.14 (#2059) @olamy
JENKINS-58732 - Update dependencies to account for moved class (#2056) @Vlatombe

Jenkins Blue Ocean v1.23.0 
https://github.com/jenkinsci/blueocean-plugin/compare/blueocean-parent-1.22.0...blueocean-parent-1.23.0","JENKINS-61822 - Fix github-api 1.107+ incompatibilities (#2064) @bitwiseman
Improve Jenkinsfile error handling by removing unnecessary catch block (#2070) @dwnusbaum
Spelling (#2048) @jsoref
Fix translation from ""Modificacíon"" to ""Modificación"" (#2066) @gonrial
README: remove reference to the Blue Ocean roadmap (#2062) @oleg-nenashev
Use GitHub as the source of documentation (#2063) @zbynek
Upgrade ubuntu maven (#2061) @olamy
Upgrade Jira plugin to 3.0.14 (#2059) @olamy
JENKINS-58732 - Update dependencies to account for moved class (#2056) @Vlatombe
Jenkins Blue Ocean v1.23.0 
link"
34," Optional: add a release summary here 

JENKINS-59291 - upgrade to sse-gateway 1.21 (#2053) @olamy

📝 Documentation updates

Jenkins Design Language: Use GitHub as a source of plugin docs + Remove the confusing link to the JDL2 website (#2055) @oleg-nenashev
","Optional: add a release summary here 
JENKINS-59291 - upgrade to sse-gateway 1.21 (#2053) @olamy
📝 Documentation updates
Jenkins Design Language: Use GitHub as a source of plugin docs + Remove the confusing link to the JDL2 website (#2055) @oleg-nenashev"
35," Optional: add a release summary here 

JENKINS-50328 - JENKINS-51066 - Fix bug where pipeline editor ignores custom Jenkinsfile script path. (#2049) @sutrosoftware
Change to https url for maven download (#2047) @kshultzCB
RequireUpperBoundDeps jodatime (#2046) @olamy
Remove dependencies to joda-time (#2041) @veita
Jenkins 56392 (#2042) @bpedersen2
Replace wiki URL with github URL in pom files (#2044) @kshultzCB
Move aggregator ('blueocean') docs into git repository (#2040) @MarkEWaite
Merge Release/1.20 into master (#2034) @kshultzCB

🚀 New features and improvements

Display separate stages in scripted parallel pipelines (#2024) @countableSet
","Optional: add a release summary here 
JENKINS-50328 - JENKINS-51066 - Fix bug where pipeline editor ignores custom Jenkinsfile script path. (#2049) @sutrosoftware
Change to https url for maven download (#2047) @kshultzCB
RequireUpperBoundDeps jodatime (#2046) @olamy
Remove dependencies to joda-time (#2041) @veita
Jenkins 56392 (#2042) @bpedersen2
Replace wiki URL with github URL in pom files (#2044) @kshultzCB
Move aggregator ('blueocean') docs into git repository (#2040) @MarkEWaite
Merge Release/1.20 into master (#2034) @kshultzCB
🚀 New features and improvements
Display separate stages in scripted parallel pipelines (#2024) @countableSet"
36,"🚀 New features and improvements

JENKINS-39225 - : add i18n Korean support (#2027) @zakaf
Hacktoberfest - Project URL updated to use Github instead of Wiki (#2028) @ocristian

🐛 Bug Fixes

Ensure header is visible on scroll (#2026) @fredden
JENKINS-59706 - PipelineRunImpl.getCommitUrl must not loop over historical builds (#2029) @jglick
Typo in the README.md (#2023) @v1v
","🚀 New features and improvements
JENKINS-39225 - : add i18n Korean support (#2027) @zakaf
Hacktoberfest - Project URL updated to use Github instead of Wiki (#2028) @ocristian
🐛 Bug Fixes
Ensure header is visible on scroll (#2026) @fredden
JENKINS-59706 - PipelineRunImpl.getCommitUrl must not loop over historical builds (#2029) @jglick
Typo in the README.md (#2023) @v1v"
37," Optional: add a release summary here 

JENKINS-58085 - Fix issue where stages are shown as waiting to start when they are running/completed (#2017) @dwnusbaum
validate 'run.causes' is set before checking length (#2020) @kevinushey
JENKINS-58684 - use sse gateway 1.20 (#2021) @olamy
Prepare for next release (#2012) @halkeye
JENKINS-55605 - Remove restriction that prevented clicking/url updating on unfinished nodes, or parallel nodes (#2018) @halkeye
Update README.md w/ note about installation on macOS (#2016) @heisian
address error.responseBody is undefined (#2015) @heisian

🐛 Bug Fixes

JENKINS-53352 - fix test whitespace rendering on junit files (#1988) @egonelbre
","Optional: add a release summary here 
JENKINS-58085 - Fix issue where stages are shown as waiting to start when they are running/completed (#2017) @dwnusbaum
validate 'run.causes' is set before checking length (#2020) @kevinushey
JENKINS-58684 - use sse gateway 1.20 (#2021) @olamy
Prepare for next release (#2012) @halkeye
JENKINS-55605 - Remove restriction that prevented clicking/url updating on unfinished nodes, or parallel nodes (#2018) @halkeye
Update README.md w/ note about installation on macOS (#2016) @heisian
address error.responseBody is undefined (#2015) @heisian
🐛 Bug Fixes
JENKINS-53352 - fix test whitespace rendering on junit files (#1988) @egonelbre"
38,"🐛 Bug Fixes

JENKINS-58684 Revert sse-gateway to 1.17.

Fix for JENKINS-48035 resulted in causing regression where it leaked threads. We are reverting sse-gateway back to version 1.17 while a new fix in sse-gateway is worked at (#2014) @vivek","🐛 Bug Fixes
JENKINS-58684 Revert sse-gateway to 1.17.
Fix for JENKINS-48035 resulted in causing regression where it leaked threads. We are reverting sse-gateway back to version 1.17 while a new fix in sse-gateway is worked at (#2014) @vivek"
39," Optional: add a release summary here 

JENKINS-51057 - Use see-gateway plugin 1.18 (#1987) @olamy
Swap code owners with the jenkinsci group so it matches who has access to the project (#1985) @halkeye

🐛 Bug Fixes

JENKINS-48035 - : Fix to register webhook after creating and saving pipeline (#2008) @vivek

📦 Dependency updates

Updated sonar-plugin version (#2011) @vivek
Bump maven-javadoc-plugin from 2.10.4 to 3.1.0 (#1997) @dependabot-preview
","Optional: add a release summary here 
JENKINS-51057 - Use see-gateway plugin 1.18 (#1987) @olamy
Swap code owners with the jenkinsci group so it matches who has access to the project (#1985) @halkeye
🐛 Bug Fixes
JENKINS-48035 - : Fix to register webhook after creating and saving pipeline (#2008) @vivek
📦 Dependency updates
Updated sonar-plugin version (#2011) @vivek
Bump maven-javadoc-plugin from 2.10.4 to 3.1.0 (#1997) @dependabot-preview"
40,"Changes

Fix response json data of API get SCM repositories in an organization (#1955) @soulseen

🚀 New features and improvements

JENKINS-39203 - Only show blocks containing a WarningAction as unstable (#1954) @dwnusbaum

🐛 Bug Fixes

JENKINS-39203 - Only show blocks containing a WarningAction as unstable (#1954) @dwnusbaum
Sequential parallel branches appear incorrectly while build in-progress (#1961) @sophistifunk

📦 Dependency updates

Bump maven-jar-plugin from 3.0.2 to 3.1.2 (#1967) @dependabot-preview
Bump powermock.version from 2.0.0-RC.4 to 2.0.2 (#1972) @dependabot-preview
","Changes
Fix response json data of API get SCM repositories in an organization (#1955) @soulseen
🚀 New features and improvements
JENKINS-39203 - Only show blocks containing a WarningAction as unstable (#1954) @dwnusbaum
🐛 Bug Fixes
JENKINS-39203 - Only show blocks containing a WarningAction as unstable (#1954) @dwnusbaum
Sequential parallel branches appear incorrectly while build in-progress (#1961) @sophistifunk
📦 Dependency updates
Bump maven-jar-plugin from 3.0.2 to 3.1.2 (#1967) @dependabot-preview
Bump powermock.version from 2.0.0-RC.4 to 2.0.2 (#1972) @dependabot-preview"
