Index,Message,Description
1094,Merge pull request #138 from terraform-providers/t-reauth-kops,test-infra: Re-auth for kops@GCE deletion
1095,test-infra: Re-auth for kops@GCE deletion,
1096,test-infra: Add DNS check to kops,
1097,resource/*: Treat non-string label values as invalid,
1098,resource/kubernetes_pod: Bump timeout to 5 mins,
1099,Update CHANGELOG.md,
1100,Merge pull request #133 from terraform-providers/b-pv-correct-ops,resource/kubernetes_persistent_volume: Use correct operation when updating persistent_volume_source (1.8)
1101,Update CHANGELOG.md,
1102,Merge pull request #132 from terraform-providers/b-lr-empty-spec,resource/kubernetes_limit_range: Avoid spurious diff when spec is empty
1103,Merge pull request #130 from terraform-providers/t-aws-ebs,tests: Add AWS EBS tests for PV + separate test for hostPath
1104,resource/kubernetes_persistent_volume: Use correct operation when updating persistent_volume_source,
1105,Update CHANGELOG.md,
1106,Merge pull request #116 from pdecat/fix-adding-labels,Fix adding labels/annotations to resources or data to config maps/secrets when those were empty
1107,resource/kubernetes_limit_range: Avoid spurious diff when spec is empty,
1108,tests: Add AWS EBS tests for PV + separate test for hostPath,
1109,Merge pull request #129 from terraform-providers/vendor-aws-provider,vendor: github.com/terraform-providers/terraform-provider-aws
1110,vendor: github.com/aws/aws-sdk-go/...@v1.12.75,
1111,vendor: github.com/terraform-providers/terraform-provider-aws,
1112,Merge pull request #128 from terraform-providers/vendor-hc-tf,vendor: github.com/hashicorp/terraform/...@v0.11.3
1113,vendor: github.com/hashicorp/go-getter/...@a686900cb3753aa644dc4812be91ceaf9fdd3b98,
1114,vendor: golang.org/x/net/idna@a04bdaca5b32abe1c069418fb7088ae607de5bd0,
1115,vendor: github.com/hashicorp/terraform/...@v0.11.3,
1116,Update CHANGELOG.md,
1117,Merge pull request #127 from terraform-providers/b-svc-update-ext-ips,resource/kubernetes_service: Update external_ips correctly on K8S 1.8+
1118,Merge pull request #126 from terraform-providers/t-pv-skip,tests: Skip GCP-dependent test if not on GCP
1119,resource/kubernetes_service: Update external_ips correctly on K8S 1.8+,
1120,tests: Skip GCP-dependent test if not on GCP,
1121,Update CHANGELOG.md,
1122,Merge pull request #111 from sergei-ivanov/pv_storage_class_name,resource/kubernetes_persistent_volume: Add support for storage_class_name
1123,Add PV acc test with new field,
1124,tests: Fix PVC acceptance tests,
1125,Support module in module,
1126,Update CHANGELOG.md,
1127,Merge pull request #125 from terraform-providers/f-pvc-improve-event-polling,resource/kubernetes_persistent_volume_claim: Improve event log polling for warns
1128,Merge pull request #124 from terraform-providers/t-gcp-pvc-access-mode,tests: Fix wrong access_modes for PVC
1129,resource/kubernetes_persistent_volume_claim: Improve event log polling for warns,
1130,tests: Fix wrong access_modes for PVC,
1131,Merge pull request #122 from terraform-providers/t-ignore-internal-keys,tests: Ignore internal k8s annotations+labels
1132,Merge pull request #123 from terraform-providers/t-ignore-resource-version,tests: Ignore resource_version in import tests
1133,tests: Ignore internal k8s annotations+labels,
1134,tests: Ignore resource_version in import tests,
1135,Merge pull request #121 from terraform-providers/t-expose-google-zone,test-infra: Expose google_zone from kops @ GCE
1136,test-infra: Expose google_zone from kops @ GCE,
1137,Merge pull request #120 from terraform-providers/t-test-infra,test-infra: Add more targets (kops + minikube)
1138,test-infra: Add more targets (kops + minikube),
1139,Update CHANGELOG.md,
1140,Merge pull request #103 from sl1pm4t/secret-binary-data,resource/kubernetes_secret: Prevent binary data corruption
1141,Add test case revealing issue #115 when adding data to a secret resource that didn't have any,
1142,Add test case revealing issue #115 when adding data to a config map resource that didn't have any,
1143,Fix adding labels and annotations to a resource that didn't have any,
1144,Add test case revealing issue #115 when adding annotations to a resource that didn't have any,
1145,Add test case revealing issue #115 when adding labels to a resource that didn't have any,
1146,Merge pull request #112 from pdecat/patch-1,Typo: config map => storage class
1147,Merge pull request #107 from vbrednikov/master,Fix link to secrets design proposal
1148,Merge pull request #105 from ofpiyush/patch-1,fix argument name in example
1149,Typo: config map => storage class,
1150,Fix link to secrets design proposal,
1151,fix argument name in example,
1152,kubernetes_secret corrupts binary data on create,
1153,Merge pull request #99 from jdwyah/patch-1,fix README to work with new github acct
1154,fix README to work with new github acct,hashicorp -> terraform-providers
1155,Update README.md,
1156,Merge pull request #89 from terraform-providers/t-expose-kube-version,test-infra: Allow testing against different K8S versions
1157,test-infra: Allow testing against different K8S versions,
1158,Merge pull request #88 from terraform-providers/vendor-google-provider-1.2.0,vendor: Bump Google provider to 1.2.0
1159,vendor: google.golang.org/api/bigquery/v2/...@672d215,
1160,vendor: google.golang.org/api/googleapi/...@e6586c92,
1161,vendor: google.golang.org/api/gensupport/...@672d215d,
1162,vendor: google.golang.org/api/storage/v1/...@672d215d,
1163,vendor: google.golang.org/api/cloudresourcemanager/v2beta1@6d17a978,
1164,vendor: google.golang.org/api/cloudresourcemanager/v1@906273f4,
1165,vendor: google.golang.org/api/container/v1@7afc123c,
1166,vendor: google.golang.org/api/compute/v1@e9627089,
1167,vendor: golang.org/x/oauth2/...@9a379c6b,
1168,vendor: github.com/terraform-providers/terraform-provider-google/...@v1.2.0,
1169,Update CHANGELOG.md,
1170,Update vendored k8s client code to go-client v4.0.0 (#80),  Removed old k8s vendored code   Update provider to support k8s go-client v4.0.0   Vendor k8s go-client v4.0.0   Update vendored juju/ratelimit   More vendoring updates to support k8s go-client v4   Make fmt   Vendoring missing dependencies   docs: Document new version compatibility 
1171,Cleanup after v1.0.1 release,
1172,v1.0.1,
1173,Make CoC and support channels more visible,https://help.github.com/articles/adding-a-code-of-conduct-to-your-project/ https://help.github.com/articles/adding-support-resources-to-your-project/
1174,Update CHANGELOG.md,
1175,Merge pull request #83 from pdecat/fix-volume-configmap-items-mode,Fix mode conversion with config_map volume items
1176,Fix mode conversion with config_map volume items,
1177,Add acceptance test to reveal issue with config_map volume items,
1178,Merge pull request #77 from thomaslorentsen/master,Adding spacing after insecure
1179,Adding spacing after insecure,Adding a space after the insecure for better readability
1180,Update CHANGELOG.md,
1181,Merge pull request #69 from terraform-providers/b-svc-optional-target-port,r/service: Make spec.port.target_port optional
1182,Merge pull request #68 from terraform-providers/b-fix-faulty-env-detection,acc-tests: Fix faulty detection of environment
1183,acc-tests: Fix faulty detection of environment,
1184,r/service: Make spec.port.target_port optional,
