Index,Release Note,Release Note With Abstraction
53,"Fixed

Fix a stripe notice with SubscriptionBuilder and metered prices (#1261)﻿
","Fixed
Fix a stripe notice with SubscriptionBuilder and metered prices (#1261)﻿"
54,"Changed

Use default name for subscription factory (#1250)
PHP 8.1 compatibility (#1251)

Fixed

Fallback to null quantity for metered price (#1255)﻿
","Changed
Use default name for subscription factory (#1250)
PHP 8.1 compatibility (#1251)
Fixed
Fallback to null quantity for metered price (#1255)﻿"
55,"Fixed

Fix setting name on subscription (5d00c21)﻿
","Fixed
Fix setting name on subscription (5d00c21)﻿"
56,"Added

Add invoices methods to subscription (#1245)

Fixed

Fix webhook order issue (#1243)
Send data when upcoming invoice is refreshed (#1244)
Update customer details when tax id is collected (#1246)﻿
","Added
Add invoices methods to subscription (#1245)
Fixed
Fix webhook order issue (#1243)
Send data when upcoming invoice is refreshed (#1244)
Update customer details when tax id is collected (#1246)﻿"
57,"Fixed

Fix quantity filling on subscriptions (#1238)
Fix unreachable status value (#1240)﻿
","Fixed
Fix quantity filling on subscriptions (#1238)
Fix unreachable status value (#1240)﻿"
58,"Changed

Add support for inline price data (#1235)﻿
","Changed
Add support for inline price data (#1235)﻿"
59,"Changed

Allow promo codes on subscription updates (#1230)

Fixed

Fix asStripeCustomerBalanceTransaction (#1234)﻿
","Changed
Allow promo codes on subscription updates (#1230)
Fixed
Fix asStripeCustomerBalanceTransaction (#1234)﻿"
60,"Fixed

Fix issue with requires_action (#1226)
Fix async issue with webhooks (#1227)﻿
","Fixed
Fix issue with requires_action (#1226)
Fix async issue with webhooks (#1227)﻿"
61,"Changed

Implement server side Checkout redirect (#1218)﻿
","Changed
Implement server side Checkout redirect (#1218)﻿"
62,"Added

Implement customer balances (#1216)﻿
","Added
Implement customer balances (#1216)﻿"
63,"Added

Add invoicePrice and tabPrice methods (#1213)﻿
","Added
Add invoicePrice and tabPrice methods (#1213)﻿"
64,"Fixed

Fix collecting tax ids (#1209)﻿
","Fixed
Fix collecting tax ids (#1209)﻿"
65,"Added

Implement new calculateTaxes call (#1198)
Implement webhook command (#1202, 1d9cce8)

Changed

Prevent tax calculation for one-off charges (#1206)

Fixed

Use correct method visibility (#1200)﻿
","Added
Implement new calculateTaxes call (#1198)
Implement webhook command (#1202, 1d9cce8)
Changed
Prevent tax calculation for one-off charges (#1206)
Fixed
Use correct method visibility (#1200)﻿"
66,"Added

Implement webhook command (#1202)
","Added
Implement webhook command (#1202)"
67,"Added

Implement support for Stripe Tax (#1190)
Collect Tax IDs in Checkout (#1191)

Fixed

Fix adding metered plan to subscription (#1189)﻿
","Added
Implement support for Stripe Tax (#1190)
Collect Tax IDs in Checkout (#1191)
Fixed
Fix adding metered plan to subscription (#1189)﻿"
68,"Added

Support more payment method types (#1074)
Cashier Stripe Factories (#1096)
Multiple discounts on receipts (#1147)
Preview upcoming invoice (#1146)
Add new metered price methods (#1177)
Allow customers to be synced with Stripe (#1178, #1183)
Add stripe_product column to subscriptions_items table (#1185)

Changed

Rename plans to prices (#1166)
Stripe SDK refactor (#1169)
Update stripe api version (#1001)
Make plans optional for newSubscription (#1066)
Drop PHP 7.2 support (#1065)
Drop Laravel 6 & 7 support (#1064)
Refactor payment exceptions (#1095)
Refactor model config option (#1100)
Billing portal arguments (#1104)
Refactor receipts with more data from Stripe (#1136)
Add array types (#1152)
Throw payment exception for quantity methods (#1155)
Throw payment exceptions on item swap (#1157)
Payment page updates (#1120)

Fixed

Fix trialEndsAt more closely represents onTrial (#1129)

Removed

Remove legacy sources support (#1077)﻿
","Added
Support more payment method types (#1074)
Cashier Stripe Factories (#1096)
Multiple discounts on receipts (#1147)
Preview upcoming invoice (#1146)
Add new metered price methods (#1177)
Allow customers to be synced with Stripe (#1178, #1183)
Add stripe_product column to subscriptions_items table (#1185)
Changed
Rename plans to prices (#1166)
Stripe SDK refactor (#1169)
Update stripe api version (#1001)
Make plans optional for newSubscription (#1066)
Drop PHP 7.2 support (#1065)
Drop Laravel 6 & 7 support (#1064)
Refactor payment exceptions (#1095)
Refactor model config option (#1100)
Billing portal arguments (#1104)
Refactor receipts with more data from Stripe (#1136)
Add array types (#1152)
Throw payment exception for quantity methods (#1155)
Throw payment exceptions on item swap (#1157)
Payment page updates (#1120)
Fixed
Fix trialEndsAt more closely represents onTrial (#1129)
Removed
Remove legacy sources support (#1077)﻿"
69,"Fixed

Fix broken unit_amount with tab (9246063)﻿
","Fixed
Fix broken unit_amount with tab (9246063)﻿"
70,"Added

Support prorations while extending trials (#1151)
Add extra methods to invoice object (#1167)

Fixed

Add extra 10 seconds of trial time for checkout session (#1160)
Fix adding invoice item with quantities (#1161)
Fix coupons with Stripe Checkout sessions (#1165)
Fix checkout owner (7bbfe23)﻿
","Added
Support prorations while extending trials (#1151)
Add extra methods to invoice object (#1167)
Fixed
Add extra 10 seconds of trial time for checkout session (#1160)
Fix adding invoice item with quantities (#1161)
Fix coupons with Stripe Checkout sessions (#1165)
Fix checkout owner (7bbfe23)﻿"
71,"Fixed

Fix discount calculation (#1144)﻿
","Fixed
Fix discount calculation (#1144)﻿"
72,"Added

Add methods for managing TaxIDs (#1137)

Fixed

Fix receipt comments (#1131)﻿
","Added
Add methods for managing TaxIDs (#1137)
Fixed
Fix receipt comments (#1131)﻿"
73,"Added

Implement object serialization (#1116)

Changed

Replace symfony/intl dependency (#1114)
Extract creating subscription to a separate method (#1124)

Fixed

Fix latest_invoice retrieval (#1115)
Fix coupon label on receipts (#1118)﻿
","Added
Implement object serialization (#1116)
Changed
Replace symfony/intl dependency (#1114)
Extract creating subscription to a separate method (#1124)
Fixed
Fix latest_invoice retrieval (#1115)
Fix coupon label on receipts (#1118)﻿"
74,"Added

Implement cancelAt method (#1106)﻿
","Added
Implement cancelAt method (#1106)﻿"
75,"Added

Added new payment status helper methods (#1068)
Add capture method (#1099)

Changed

Update description on receipt (#1098)
Update payment page (#1094)﻿
","Added
Added new payment status helper methods (#1068)
Add capture method (#1099)
Changed
Update description on receipt (#1098)
Update payment page (#1094)﻿"
76,"Changed

Use DejaVu Sans for receipts (#1083)

Fixed

Subscription Update Webhook bugfix (#1085, 3184afc)﻿
","Changed
Use DejaVu Sans for receipts (#1083)
Fixed
Subscription Update Webhook bugfix (#1085, 3184afc)﻿"
77,"Fixed

Fix missing method on WebhookController (#1080)
Allow relative urls for redirect (#1082)﻿
","Fixed
Fix missing method on WebhookController (#1080)
Allow relative urls for redirect (#1082)﻿"
78,"Changed

Allow model swapping (#1067)

Fixed

Fix styles overwriting checkout button when class is set (#1070)﻿
","Changed
Allow model swapping (#1067)
Fixed
Fix styles overwriting checkout button when class is set (#1070)﻿"
79,"Added

Add endTrial method (#1062)

Fixed

Fix removing tax rates (d803ae5)﻿
","Added
Add endTrial method (#1062)
Fixed
Fix removing tax rates (d803ae5)﻿"
80,"Fixed

Fix removing tax rates (#1059)﻿
","Fixed
Fix removing tax rates (#1059)﻿"
81,"Added

Metered billing (#1048)

Changed

Allow Stripe dashboard subscriptions (#1058)

Fixed

Fix return type for invoice line items (#1053)﻿
","Added
Metered billing (#1048)
Changed
Allow Stripe dashboard subscriptions (#1058)
Fixed
Fix return type for invoice line items (#1053)﻿"
82,"Fixed

Fix tax rates for subscription checkouts (#1050)﻿
","Fixed
Fix tax rates for subscription checkouts (#1050)﻿"
83,"Added

Stripe Checkout Support (#1007)﻿
","Added
Stripe Checkout Support (#1007)﻿"
84,"Fixed

Fix image support in PDF invoices (#1045, bb7d17e8)
﻿
","Fixed
Fix image support in PDF invoices (#1045, bb7d17e8)
﻿"
85,"Changed

Bump dompdf to v0.8.4 (8a4b495)
Allow dompdf v1.0 (4949af9)﻿
","Changed
Bump dompdf to v0.8.4 (8a4b495)
Allow dompdf v1.0 (4949af9)﻿"
86,"Fixed

Fix proration behaviour being forced when syncing tax rates (#1028)﻿
","Fixed
Fix proration behaviour being forced when syncing tax rates (#1028)﻿"
87,"Added

Add withPromotionCode method (#1032)

Changed

Refactor duplicated code (#1029)﻿
","Added
Add withPromotionCode method (#1032)
Changed
Refactor duplicated code (#1029)﻿"
88,"Added

PHP 8 Support (#1020)﻿
","Added
PHP 8 Support (#1020)﻿"
