Index,Release Note,Release Note With Abstraction
92,"Changes

Added support for Facebook Work Chat. https://github.com/sindresorhus/caprine/commit/649ac599d264f8c6fbca7c4996e115c26270a9e5
Added ability to toggle the sidebar. https://github.com/sindresorhus/caprine/commit/0eaa18b5993c5670e2d776c4763bc9b3253773e9
Added ""Don't ask again"" option when confirming whether to paste image from the clipboard. https://github.com/sindresorhus/caprine/commit/eb823cf750060a21cd0ea3204dedc262c8fb3593
Disabled hardware acceleration for battery reasons. See #238. https://github.com/sindresorhus/caprine/commit/419a546bcb12579b527a194c6f69086b4e1ee076

https://github.com/sindresorhus/caprine/compare/v2.4.0...v2.5.0
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Changes
Added support for Facebook Work Chat. link
Added ability to toggle the sidebar. link
Added ""Don't ask again"" option when confirming whether to paste image from the clipboard. link
Disabled hardware acceleration for battery reasons. See #238. link
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
93,"Changes

Facebook link tracking is no more. Yay privacy! https://github.com/sindresorhus/caprine/commit/d3e7238f9e1286319648090f7b7da167aa03d3d4
New keyboard shortcut for opening the GIF panel: https://github.com/sindresorhus/caprine/commit/0633448c7ff099ef76965969e2e1783b4bd464f5
  You can use Tab to go through the GIFs and Enter to select one.
Caprine now uses the user's system locale instead of the often incorrect locale Facebook sets. https://github.com/sindresorhus/caprine/commit/b4e4ce36804c52b1793043b42b4c53b704b63da4
Added flashing window on message on Windows. https://github.com/sindresorhus/caprine/commit/4de36c841605d907c0be4370a00586393818c877

https://github.com/sindresorhus/caprine/compare/v2.3.1...v2.4.0
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Changes
Facebook link tracking is no more. Yay privacy! link
New keyboard shortcut for opening the GIF panel: link
  You can use Tab to go through the GIFs and Enter to select one.
Caprine now uses the user's system locale instead of the often incorrect locale Facebook sets. link
Added flashing window on message on Windows. link
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
94,"Add some missing keyboard shortcuts on Linux and Windows. c8eed066f9bde6be2fe976e7a85700abb3279417
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Add some missing keyboard shortcuts on Linux and Windows. c8eed066f9bde6be2fe976e7a85700abb3279417
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
95,"

Add option to disable seen/typing indicators (Privacy!) https://github.com/sindresorhus/caprine/commit/c84dc70ab01c3b055fe854471b93fdaa56158668
Fix sending and receiving voice/video calls from within Caprine https://github.com/sindresorhus/caprine/commit/6269a983be6e8cafad2a4ab27448fdacb83c9755
Confirmation before sending image via Cmd/Ctrl+V https://github.com/sindresorhus/caprine/commit/d6755de1014588c26507d05d86c6f7e58bc18cbf
Add unread count and taskbar overlay icon for Windows https://github.com/sindresorhus/caprine/commit/dfacf28c2d65b234bb0fc06e4ceff88da5adade0
Welcome @veniversum as a maintainer 🎉

https://github.com/sindresorhus/caprine/compare/v2.2.0...v2.3.0
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Add option to disable seen/typing indicators (Privacy!) link
Fix sending and receiving voice/video calls from within Caprine link
Confirmation before sending image via Cmd/Ctrl+V link
Add unread count and taskbar overlay icon for Windows link
Welcome @veniversum as a maintainer 🎉
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
96,"Fix resizing the window on Windows and some dark mode UI tweaks.
https://github.com/sindresorhus/caprine/compare/v2.1.0...v2.2.0
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Fix resizing the window on Windows and some dark mode UI tweaks.
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
97,"Improve highlight for selected conversation (#179).
https://github.com/sindresorhus/caprine/compare/v2.0.0...v2.1.0
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Improve highlight for selected conversation (#179).
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
98,For testing only,For testing only
99,"
Highlights

New beautiful vibrancy mode on macOS ⬆️. Works in both dark and light mode. You can toggle it in the View menu.
All icons are now retina.
Comes with installers for macOS, Linux, and Windows.
Going forward, the app will automagically upgrade in the background on macOS and Windows. No need to check back here unless you like reading release notes.
Added option to bounce the Dock icon on new message on macOS.
Many bug fixes.

https://github.com/sindresorhus/caprine/compare/1.8.0...v2.0.0
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.


deb
Windows
","Highlights
New beautiful vibrancy mode on macOS ⬆️. Works in both dark and light mode. You can toggle it in the View menu.
All icons are now retina.
Comes with installers for macOS, Linux, and Windows.
Going forward, the app will automagically upgrade in the background on macOS and Windows. No need to check back here unless you like reading release notes.
Added option to bounce the Dock icon on new message on macOS.
Many bug fixes.
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
100,https://github.com/sindresorhus/caprine/compare/1.7.0...1.8.0,link
101,"Fix conversation switching keyboard shortcuts.
https://github.com/sindresorhus/caprine/compare/1.6.0...1.7.0","Fix conversation switching keyboard shortcuts.
link"
