Index,Message,Description
140,feat: Add support for macOS app API key notarization (#1127),Co-authored-by: Mark Lee link
141,build(deps): upgrade electron-notarize to ^0.3.0,
142,Merge pull request #1139 - refactor: replace cross-zip with extract-zip,
143,refactor: replace cross-zip with extract-zip,
144,test(unzip): refactor for efficiency and readability,
145,test(unzip): unzip should preserve symbolic links,
146,chore(deps): bump fs-extra from 8.1.0 to 9.0.0 (#1137),Bumps link from 8.1.0 to 9.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
147,chore(deps-dev): bump typedoc from 0.16.11 to 0.17.1 (#1136),Bumps link from 0.16.11 to 0.17.1. - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
148,fix(mac): check for osxNotarize.hardened-runtime in addition to hardenedRuntime,
149,build: upgrade asar to ^3.0.0,
150,build: ignore typedoc output for eslint,
151,build: upgrade to malept/github-action-gh-pages@1.0.2,
152,docs: note in usage that sub-properties listed aren't exhaustive,Also update the osx-sign & notarize URLs. Closes #1134.
153,docs: add electron-notarize to DEBUG list,
154,build: move filters to workflow.jobs,
155,build: try another branch filter syntax,
156,build: fix CircleCI syntax,
157,build: do not run CircleCI on the gh-pages branch,
158,build: use github pages action v1.0.1 (fixes ssh deploys),
159,chore(deps): bump yargs-parser from 17.1.0 to 18.0.0 (#1132),Bumps link from 17.1.0 to 18.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link
160,build: fix ssh deploy key environment variable name,
161,feat: add TypeScript definition (#1131),"Based on module, it's updated for 14.2.1. It replaces module as the canonical API documentation (module remains with a link-based redirect for links to the Markdown file).  build: publish TypeScript API docs to GitHub Pages"
162,docs: note that the menubar FAQ does not apply to Electron 5,
163,chore(deps-dev): bump sinon from 8.1.1 to 9.0.0 (#1125),Bumps link from 8.1.1 to 9.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link
164,build(canary): use relative path to quick start folder,
165,build(canary): use absolute paths,
166,build(canary): fix path to quick start,
167,build: use Node 10 in the canary workflow,
168,feat: require Node 10 (#1122),BREAKING CHANGE: drop support for Node < 10  build: check that dependencies work with the Node versions we support build(deps-dev): upgrade ava to ^3.3.0 build: use a newer macOS image on CircleCI build: use a newer windows orb on CircleCI build: simplify CircleCI config
169,chore(deps-dev): bump eslint-plugin-ava from 9.0.0 to 10.0.1 (#1114),Bumps link from 9.0.0 to 10.0.1. - link - link Signed-off-by: dependabot-preview[bot] link
170,Merge pull request #1121 from electron/dependabot/npm_and_yarn/semver-7.1.3,chore(deps): bump semver from 6.3.0 to 7.1.3
171,chore(deps): bump semver from 6.3.0 to 7.1.3,Bumps link from 6.3.0 to 7.1.3. - link - link - link Signed-off-by: dependabot-preview[bot] link
172,docs: update badges in README,
173,chore(deps): bump yargs-parser from 16.1.0 to 17.0.0 (#1118),Bumps link from 16.1.0 to 17.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link
174,14.2.1,
175,fix(win32): correctly catch missing wine exceptions (#1117),
176,chore: add .editorconfig,
177,chore: add sponsorship metadata,
178,test: replace tempy with fs.mkdtemp (#1111),
179,Merge pull request #1110 from electron/clarify-dark-mode-docs,docs: add a link to the Electron docs for darwinDarkModeSupport
180,docs: add a link to the Electron docs for darwinDarkModeSupport,
