Index,Message,Description,Message Abstract,Description Abstract
7909,Update history to reflect merge of #2306 [ci skip],,Update history to reflect merge of #2306 [ci skip],
7910,Merge pull request #2306 from XhmikosR/mobile-nav,,Merge pull request #2306 from XhmikosR/mobile-nav,
7911,No more relative permalinks! Fix for a test.,,No more relative permalinks! Fix for a test.,
7912,Fix test for new command's output.,,Fix test for new command's output.,
7913,Using stderr instead of stdout,,Using stderr instead of stdout,
7914,Set relative_permalinks to false to deprecate!,,Set relative_permalinks to false to deprecate!,
7915,Stevenson now uses symbols instead of integers to set log level,,Stevenson now uses symbols instead of integers to set log level,
7916,Use black color for the mobile navbar.,It looks cleaner on the white background.,Use black color for the mobile navbar.,It looks cleaner on the white background.
7917,"Use Jekyll.logger, never puts",,"Use Jekyll.logger, never puts",
7918,We deprecated relative permalinks in 2.0,,We deprecated relative permalinks in 2.0,
7919,Use the built in date filter for the copyright year.,,Use the built in date filter for the copyright year.,
7920,Also exclude an entry if it starts with one of the items given in the exclude key.,,Also exclude an entry if it starts with one of the items given in the exclude key.,
7921,Adding two new test cases for exclude configuration use cases.,,Adding two new test cases for exclude configuration use cases.,
7922,Update html5shiv to v3.7.2.,,Update html5shiv to v3.7.2.,
7923,Update history to reflect merge of #2127 [ci skip],,Update history to reflect merge of #2127 [ci skip],
7924,Merge pull request #2127 from XhmikosR/css,,Merge pull request #2127 from XhmikosR/css,
7925,Add docs for site.documents.,Ref: #2295.,Add docs for site.documents.,Ref: #2295.
7926,Update history to reflect merge of #2295 [ci skip],,Update history to reflect merge of #2295 [ci skip],
7927,Merge pull request #2295 from jekyll/add-documents-listing,,Merge pull request #2295 from jekyll/add-documents-listing,
7928,Update history to reflect merge of #2300 [ci skip],,Update history to reflect merge of #2300 [ci skip],
7929,Merge pull request #2300 from kzykbys/myPluginDescription,,Merge pull request #2300 from kzykbys/myPluginDescription,
7930,Speak English properly.,,Speak English properly.,
7931,Update history to reflect merge of #2301 [ci skip],,Update history to reflect merge of #2301 [ci skip],
7932,Merge pull request #2301 from TheTomThorogood/short_year_permalink,,Merge pull request #2301 from TheTomThorogood/short_year_permalink,
7933,Add lexicographical sort test,,Add lexicographical sort test,
7934,Write test for site.documents.,,Write test for site.documents.,
7935,Add Deprecated articles keeper plugin,,Add Deprecated articles keeper plugin,
7936,Update history to reflect merge of #2297 [ci skip],,Update history to reflect merge of #2297 [ci skip],
7937,Add docs about custom markdown processor,,Add docs about custom markdown processor,
7938,Add docs for group_by and where filters,,Add docs for group_by and where filters,
7939,"Give them a 1/4"" hole, which is what they want",,"Give them a 1/4"" hole, which is what they want",
7940,Add list of 2.0.0 contributors.,,Add list of 2.0.0 contributors.,
7941,MAXIMUM NOSTALGIA,,MAXIMUM NOSTALGIA,
7942,group_by not sort_by,,group_by not sort_by,
7943,"Remove date, better title props @benbalter",,"Remove date, better title props @benbalter",
7944,Add generic tests,,Add generic tests,
7945,Add scenario for ordering pages without title last,,Add scenario for ordering pages without title last,
7946,Fallback title based on time,,Fallback title based on time,
7947,Add scenario,,Add scenario,
7948,Override the sort filter,,Override the sort filter,
7949,"Curse you, timezones.",,"Curse you, timezones.",
7950,Add nostalgia.,,Add nostalgia.,
7951,Add Jekyll 2.0.0 release post.,,Add Jekyll 2.0.0 release post.,
7952,Update history to reflect merge of #2268 [ci skip],,Update history to reflect merge of #2268 [ci skip],
7953,Merge pull request #2268 from jekyll/template-fixes,,Merge pull request #2268 from jekyll/template-fixes,
7954,Refactor docs_to_write,,Refactor docs_to_write,
7955,Add documents to site payload,,Add documents to site payload,
7956,Have separate methods for all docs and just the docs that are being written.,,Have separate methods for all docs and just the docs that are being written.,
7957,make template site easier to customize,,make template site easier to customize,
7958,Merge branch 'master' of github.com:jekyll/jekyll, 'master' of github.com:jekyll/jekyll:   Change Gemnasium extension   Change Fury extension   Change Travis extension,Merge branch 'master' of github.com:jekyll/jekyll,'master' of github.com:jekyll/jekyll:   Change Gemnasium extension   Change Fury extension   Change Travis extension
7959,Swap env of maruku and kramdown dependencies.,"Maruku is now sunsetted, i.e. a dev dep, not a runtime dep. Kramdown is now the default, i.e. a runtime dep, not a dev dep. Closes #2285.",Swap env of maruku and kramdown dependencies.,"Maruku is now sunsetted, i.e. a dev dep, not a runtime dep. Kramdown is now the default, i.e. a runtime dep, not a dev dep. Closes #2285."
7960,Merge pull request #2288 from penibelst/badges-svg,SVG Badges,Merge pull request #2288 from penibelst/badges-svg,SVG Badges
7961,Add short_year description to /docs/permalinks/,,Add short_year description to /docs/permalinks/,
7962,Add :short_year to url_placeholders,,Add :short_year to url_placeholders,
7963,Update history to reflect merge of #2289 [ci skip],,Update history to reflect merge of #2289 [ci skip],
7964,Set content-type to text/html with utf-8 charset.,Fixes #2289,Set content-type to text/html with utf-8 charset.,Fixes #2289
7965,Update history to reflect merge of #2292 [ci skip],,Update history to reflect merge of #2292 [ci skip],
7966,Merge pull request #2292 from mtcomscxstart/code-class-fix,,Merge pull request #2292 from mtcomscxstart/code-class-fix,
7967,Update history to reflect merge of #2290 [ci skip],,Update history to reflect merge of #2290 [ci skip],
7968,Merge pull request #2290 from penibelst/travis-workaround,,Merge pull request #2290 from penibelst/travis-workaround,
7969,Switch 2.1 to 2.1.1,,Switch 2.1 to 2.1.1,
7970,Update tests,Remove language literal from class in test/test_redcarpet.rb,Update tests,Remove language literal from class in test/test_redcarpet.rb
7971,Update history to reflect merge of #2291 [ci skip],,Update history to reflect merge of #2291 [ci skip],
7972,Merge pull request #2291 from chezou/fix-typo-in-docs,,Merge pull request #2291 from chezou/fix-typo-in-docs,
7973,"Remove literal lang name from class, fix #2284",If code language is C classes for comment and language are the same,"Remove literal lang name from class, fix #2284",If code language is C classes for comment and language are the same
7974,Fix typo in documentation,,Fix typo in documentation,
7975,Switch to 2.1,,Switch to 2.1,
7976,Change Gemnasium extension,,Change Gemnasium extension,
7977,Change Fury extension,,Change Fury extension,
7978,Change Travis extension,,Change Travis extension,
7979,Add document.output to list of liquid vars in output.,CLoses #2232.,Add document.output to list of liquid vars in output.,CLoses #2232.
7980,Simplify selectors.,,Simplify selectors.,
7981,Add missing vendor prefixed properties.,,Add missing vendor prefixed properties.,
7982,Add fallback colors.,,Add fallback colors.,
7983,Remove duplicate properties.,,Remove duplicate properties.,
7984,Remove units from zero.,,Remove units from zero.,
7985,Be explicit with the background property.,,Be explicit with the background property.,
7986,Use the shorthand font property when possible.,Conflicts:     site/_includes/css/style.css,Use the shorthand font property when possible.,Conflicts:     site/_includes/css/style.css
7987,Move vendor prefixed properties before the unprefixed ones.,,Move vendor prefixed properties before the unprefixed ones.,
7988,Add an 'unreleased' note above Front-matter defaults.,Fixes #2280.,Add an 'unreleased' note above Front-matter defaults.,Fixes #2280.
7989,Update history to reflect merge of #2277 [ci skip],,Update history to reflect merge of #2277 [ci skip],
7990,Merge pull request #2277 from troyswanson/jekyll-help-relocation,,Merge pull request #2277 from troyswanson/jekyll-help-relocation,
7991,Update URL for jekyll-help repo,,Update URL for jekyll-help repo,
7992,Update history to reflect merge of #2273 [ci skip],,Update history to reflect merge of #2273 [ci skip],
7993,Merge pull request #2273 from jpiasetz/copy-rails-functions,,Merge pull request #2273 from jpiasetz/copy-rails-functions,
7994,Update util functions,Cribbed from http://api.rubyonrails.org/classes/Hash.html#method-i-symbolize_keys,Update util functions,Cribbed from link
7995,Update history to reflect merge of #2154 [ci skip],,Update history to reflect merge of #2154 [ci skip],
7996,Merge pull request #2154 from jpiasetz/refactor-highlighter,,Merge pull request #2154 from jpiasetz/refactor-highlighter,
7997,Revert back to an intialize more similar to the original,,Revert back to an intialize more similar to the original,
7998,Context is not used within any of the renders so no need to pass it,,Context is not used within any of the renders so no need to pass it,
7999,Refactor highlighting,Extract some of the common logic from the renderers.,Refactor highlighting,Extract some of the common logic from the renderers.
8000,Update history to reflect merge of #2269 [ci skip],,Update history to reflect merge of #2269 [ci skip],
8001,Merge pull request #2269 from jekyll/fix-up-serve,,Merge pull request #2269 from jekyll/fix-up-serve,
8002,Update jekyll-sass-converter to the latest RC,"To see a detailed history of the changes, please visit https://github.com/jekyll/jekyll-sass-converter/compare/v1.0.0.rc3...v1.0.0.rc4 Notable change is that you can now set the style of the outputted Sass. Ref: https://github.com/jekyll/jekyll-sass-converter/issues/3",Update jekyll-sass-converter to the latest RC,"To see a detailed history of the changes, please visit link Notable change is that you can now set the style of the outputted Sass. Ref: link"
8003,Refactor 'jekyll serve' command.,,Refactor 'jekyll serve' command.,
8004,Update history to reflect merge of #2264 [ci skip],,Update history to reflect merge of #2264 [ci skip],
8005,"Collections' ""written"" attribute has been changed to ""output"".",This is a follow-up to 068d921ef649501ffc8cf57f2a3b124c7378a9c5.,"Collections' ""written"" attribute has been changed to ""output"".",This is a follow-up to 068d921ef649501ffc8cf57f2a3b124c7378a9c5.
8006,Avoid duplicated output using highlight tags,"While using Rouge and an highlight tag, the output was duplicated since the output variable in the Liquid tag definition was equal to the highlighter's prefix value and the << method changes its receiver. Therefore, we should simply define an empty string and append the prefix if it is present.",Avoid duplicated output using highlight tags,"While using Rouge and an highlight tag, the output was duplicated since the output variable in the Liquid tag definition was equal to the highlighter's prefix value and the << method changes its receiver. Therefore, we should simply define an empty string and append the prefix if it is present."
