,Time
1397,300000
1398,7781
1399,1013534
1400,16951
1401,309014
1402,439239
1403,182618
1404,335810
1405,429201
1406,109925
1407,29629
1408,55132
1409,169561
1410,15742
1411,93494
1412,90633
1413,322973
1414,717237
1415,231529
1416,1227554
1417,880236
1418,951380
1419,1898384
1420,221864
1421,288115
1422,164692
1423,86188
1424,2182
1425,9584027
1426,7387857
1427,1570303
1428,248383
1429,1500657
1430,3948278
1431,3601
1432,788156
1433,7069911
1434,5734205
1435,1379597
1436,1652772
1437,3197952
1438,5048994
1439,103778
1440,18403439
1441,4184592
1442,124848
1443,12194010
1444,252340
1445,82467
1446,2863889
1447,1466850
1448,2502477
1449,50965548
1450,608812
1451,4244039
1452,19745988
1453,314548
1454,1134278
1455,4484910
1456,1539603
1457,221585
1458,81604
1459,90529
1460,234061
1461,3619452
1462,180479
1463,7181333
1464,1663487
1465,1893407
1466,1686699
1467,48142
1468,234657
1469,13908
1470,5253256
1471,4907829
1472,2798262
1473,701885
1474,43538
1475,2877927
1476,17325
1477,3717161
1478,3030321
1479,2581828
1480,336504
1481,95054
1482,2992799
1483,3075897
1484,3510957
1485,4323683
1486,2422120
1487,168897
1488,3370984
1489,1214402
1490,1268418
1491,629052
1492,2404415
1493,3041595
1494,3105296
1495,337882
1496,275879
1497,2486682
1498,355987
1499,5530133
1500,3444232
1501,107984
1502,79811
1503,3022953
1504,2931063
1505,2322840
1506,17962
1507,596198
1508,263101
1509,5425196
1510,5111362
1511,144621
1512,3924931
1513,245077
1514,232796
1515,2531747
1516,2784667
1517,4928333
1518,677511
1519,6128323
1520,615968
1521,1899226
1522,427692
1523,11876
1524,255617
1525,6442917
1526,248716
1527,6767243
1528,2000406
1529,3512358
1530,4261533
1531,1999746
1532,925331
1533,712212
1534,1127904
1535,2169180
1536,29191
1537,137090
1538,63633
1539,1106
1540,9869
1541,12817
1542,5331361
1543,5808999
1544,4377613
1545,1644636
1546,5365789
1547,3017170
1548,1032873
1549,4396611
1550,5184208
1551,1931310
1552,706242
1553,124080
1554,3234462
1555,3365686
1556,91654
1557,2246030
1558,2826042
1559,182497
1560,184677
1561,2286658
1562,369010
1563,1243787
1564,1249139
1565,2951161
1566,156118
1567,3833920
1568,315950
1569,83611
1570,262780
1571,2504196
1572,255324
1573,4602636
1574,1184511
1575,445254
1576,859847
1577,4174440
1578,127117
1579,3811530
1580,2853962
1581,1912172
1582,433136
1583,849851
1584,251146
1585,1563110
1586,262267
1587,92400
1588,19
1589,52
1590,148979
1591,455683
1592,18
1593,80681
1594,423884
1595,100265
1596,54
1597,24
1598,167631
1599,437067
1600,57
1601,167448
1602,437308
1603,19
1604,54
1605,507700
1606,96941
1607,38
1608,41
1609,31
1610,83882
1611,344748
1612,153973
1613,936
1614,21185
1615,66967
1616,101615
1617,258466
1618,163700
1619,14140
1620,23
1621,62
1622,1368
1623,177457
1624,425938
1625,154819
1626,351946
1627,82090
1628,15938
1629,31
1630,171474
1631,261718
1632,171573
1633,22
1634,24
1635,158075
1636,329023
1637,117616
1638,30
1639,27
1640,169030
1641,426166
1642,9449
1643,50
1644,174312
1645,584550
1646,272066
1647,2934
1648,76298
1649,3241
1650,82774
1651,346
1652,96170
1653,229
1654,438756
1655,171123
1656,54873
1657,4925
1658,365418
1659,71527
1660,39
1661,13649
1662,503276
1663,281
1664,96692
1665,182928
1666,399054
1667,11046
1668,651
1669,107904
1670,425803
1671,139395
1672,99598
1673,283208
1674,25343
1675,52394
1676,266386
1677,325455
1678,83358
1679,17039
1680,180
1681,157358
1682,360923
1683,56699
1684,14977
1685,545828
1686,83870
1687,71
1688,158308
1689,338494
1690,107968
1691,45
1692,404472
1693,200198
1694,25
1695,29
1696,158915
1697,354508
1698,91382
1699,30
1700,164589
1701,332811
1702,16007
1703,85533
1704,652
1705,64037
1706,440
1707,2422726
1708,451868
1709,234089
1710,438641
1711,22195
1712,31
1713,69134
1714,443390
1715,92163
1716,46
1717,31
1718,163693
1719,333761
